iter	RMSE
0	0.8348072987
1	0.8327024213
2	0.8304543291
3	0.8278935621
4	0.8261598886
5	0.8243315396
6	0.8221265026
7	0.8208309978
8	0.8199999454
9	0.8190253603
10	0.8176259568
11	0.8158848139
12	0.8144792554
13	0.813714318
14	0.8136412409
15	0.8125302964
16	0.8115282022
17	0.8109231655
18	0.8094361522
19	0.8075057133
20	0.8074431935
21	0.8064028283
22	0.805262621
23	0.8045251473
24	0.8035983978
25	0.803386894
26	0.8026613798
27	0.8020450534
28	0.8005711152
29	0.8001664099
30	0.7997571509
31	0.7994483411
32	0.7992946993
33	0.7990141409
34	0.7979178816
35	0.7976594407
36	0.7972821953
37	0.7968602098
38	0.795861982
39	0.7955333674
40	0.794763651
41	0.7942465409
42	0.7940072947
43	0.7935516466
44	0.7930009055
45	0.79216927
46	0.7912486684
47	0.7907487995
48	0.7905061772
49	0.7902482069
50	0.7896381683
51	0.7886547376
52	0.7885166858
53	0.7877886717
54	0.7873358108
55	0.7869572313
56	0.7867412221
57	0.7864210228
58	0.7863459378
59	0.7862399278
60	0.7857369618
61	0.7854333743
62	0.7840735624
63	0.7839016724
64	0.7836843653
65	0.7828522618
66	0.7828026556
67	0.7825764731
68	0.7821646814
69	0.7819404582
70	0.7819054413
71	0.7813444227
72	0.7812336092
73	0.7811651532
74	0.7810695721
75	0.7810238391
76	0.7806382806
77	0.7804837813
78	0.7795989889
79	0.7793955593
80	0.7785669898
81	0.7778241749
82	0.7774947081
83	0.777153655
84	0.7768215169
85	0.7765899305
86	0.7760873981
87	0.7756621033
88	0.7750690849
89	0.7746306896
90	0.773968089
91	0.7736890295
92	0.7734524519
93	0.7732544887
94	0.7728088893
95	0.7722944976
96	0.7717720808
97	0.7715544426
98	0.7709897245
99	0.7702353437
100	0.7700061072
101	0.7696673215
102	0.7695244799
103	0.7692269898
104	0.7691647642
105	0.7679253746
106	0.7677654567
107	0.7675015231
108	0.7671098295
109	0.7663951452
110	0.7662088832
111	0.766102603
112	0.7659996579
113	0.7656275696
114	0.7652482782
115	0.7651351369
116	0.7647611878
117	0.764472852
118	0.764112868
119	0.7637215705
120	0.7636327417
121	0.7634862703
122	0.763368418
123	0.7633505912
124	0.7632739162
